hello what are doing today ? <eos>	i am good , i just got off work and tired , i have two jobs .
hi how are you doing <eos> i am doing well . how are you ? <eos> i am good i am a doctor and work long hours <eos> i am sure that can be difficult . what type of doctor are you ? <eos> labor and delivery its hard but rewarding <eos> what do you do for fun when your not working ? <eos> i live in cali so i go to disney a lot <eos> that is a good way to reduce stress from work . my wife is doctor as well . <eos> that is nice i also like to read <eos> i read many tennis related books because i play tennis professionally . <eos> wow how long have you done that <eos>	i have been professional for 20 years .
hi how are you doing <eos> i am doing well . how are you ? <eos> i am good i am a doctor and work long hours <eos> i am sure that can be difficult . what type of doctor are you ? <eos> labor and delivery its hard but rewarding <eos> what do you do for fun when your not working ? <eos> i live in cali so i go to disney a lot <eos> that is a good way to reduce stress from work . my wife is doctor as well . <eos> that is nice i also like to read <eos> i read many tennis related books because i play tennis professionally . <eos> wow how long have you done that <eos> i have been professional for 20 years . <eos>	that is so great do you travel and compete
hi how are you doing <eos> i am doing well . how are you ? <eos> i am good i am a doctor and work long hours <eos> i am sure that can be difficult . what type of doctor are you ? <eos> labor and delivery its hard but rewarding <eos> what do you do for fun when your not working ? <eos> i live in cali so i go to disney a lot <eos> that is a good way to reduce stress from work . my wife is doctor as well . <eos> that is nice i also like to read <eos> i read many tennis related books because i play tennis professionally . <eos> wow how long have you done that <eos> i have been professional for 20 years . <eos> that is so great do you travel and compete <eos>	unfortunately i travel all the time . it can be tough on my family .
hi how are you doing <eos> i am doing well . how are you ? <eos> i am good i am a doctor and work long hours <eos> i am sure that can be difficult . what type of doctor are you ? <eos> labor and delivery its hard but rewarding <eos> what do you do for fun when your not working ? <eos> i live in cali so i go to disney a lot <eos> that is a good way to reduce stress from work . my wife is doctor as well . <eos> that is nice i also like to read <eos> i read many tennis related books because i play tennis professionally . <eos> wow how long have you done that <eos> i have been professional for 20 years . <eos> that is so great do you travel and compete <eos> unfortunately i travel all the time . it can be tough on my family . <eos>	yeah that makes sense can they ever travel with you
hi how are you doing <eos> i am doing well . how are you ? <eos> i am good i am a doctor and work long hours <eos> i am sure that can be difficult . what type of doctor are you ? <eos> labor and delivery its hard but rewarding <eos> what do you do for fun when your not working ? <eos> i live in cali so i go to disney a lot <eos> that is a good way to reduce stress from work . my wife is doctor as well . <eos> that is nice i also like to read <eos> i read many tennis related books because i play tennis professionally . <eos> wow how long have you done that <eos> i have been professional for 20 years . <eos> that is so great do you travel and compete <eos> unfortunately i travel all the time . it can be tough on my family . <eos> yeah that makes sense can they ever travel with you <eos>	sometimes my kids are able to but my wife mostly works at the hospital .
hello , how are you today ? <eos>	hey there ! i am noah . doing great , how are you ?
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos>	not much just taking care of my two cats , i love them so much !
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos>	that is awesome , i love cats . mine like to watch nascar with me
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos>	i have a weakness for cats and vanilla ice cream .
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos>	pretty cool , i love mexican food , can not get enough ! what do you do for fun ?
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos>	i collect hats ! i have a collection of 1000 hats !
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos>	holy cow . a lot of hats ! i just have one . my construction worker hat .
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos> holy cow . a lot of hats ! i just have one . my construction worker hat . <eos>	have you ever watched the olympics ? i won a gold medal in 1992 !
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos> holy cow . a lot of hats ! i just have one . my construction worker hat . <eos> have you ever watched the olympics ? i won a gold medal in 1992 ! <eos>	wow , really ? i am not much into sports , except ufc but that is quite an accomplishment !
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos> holy cow . a lot of hats ! i just have one . my construction worker hat . <eos> have you ever watched the olympics ? i won a gold medal in 1992 ! <eos> wow , really ? i am not much into sports , except ufc but that is quite an accomplishment ! <eos>	thank you so much ! do you have any other hobbies ?
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos> holy cow . a lot of hats ! i just have one . my construction worker hat . <eos> have you ever watched the olympics ? i won a gold medal in 1992 ! <eos> wow , really ? i am not much into sports , except ufc but that is quite an accomplishment ! <eos> thank you so much ! do you have any other hobbies ? <eos>	well , speaking of the nineties , i toured around following aerosmith . love those guys .
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos> holy cow . a lot of hats ! i just have one . my construction worker hat . <eos> have you ever watched the olympics ? i won a gold medal in 1992 ! <eos> wow , really ? i am not much into sports , except ufc but that is quite an accomplishment ! <eos> thank you so much ! do you have any other hobbies ? <eos> well , speaking of the nineties , i toured around following aerosmith . love those guys . <eos>	that sounds great , music is a nice way to relax !
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos> holy cow . a lot of hats ! i just have one . my construction worker hat . <eos> have you ever watched the olympics ? i won a gold medal in 1992 ! <eos> wow , really ? i am not much into sports , except ufc but that is quite an accomplishment ! <eos> thank you so much ! do you have any other hobbies ? <eos> well , speaking of the nineties , i toured around following aerosmith . love those guys . <eos> that sounds great , music is a nice way to relax ! <eos>	best way since i started working at 16 . what kind of tunes do you like ?
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos> holy cow . a lot of hats ! i just have one . my construction worker hat . <eos> have you ever watched the olympics ? i won a gold medal in 1992 ! <eos> wow , really ? i am not much into sports , except ufc but that is quite an accomplishment ! <eos> thank you so much ! do you have any other hobbies ? <eos> well , speaking of the nineties , i toured around following aerosmith . love those guys . <eos> that sounds great , music is a nice way to relax ! <eos> best way since i started working at 16 . what kind of tunes do you like ? <eos>	i mostly listen to electronic music , it helps me work and focus ! you ?
hello , how are you today ? <eos> hey there ! i am noah . doing great , how are you ? <eos> not much just taking care of my two cats , i love them so much ! <eos> that is awesome , i love cats . mine like to watch nascar with me <eos> i have a weakness for cats and vanilla ice cream . <eos> pretty cool , i love mexican food , can not get enough ! what do you do for fun ? <eos> i collect hats ! i have a collection of 1000 hats ! <eos> holy cow . a lot of hats ! i just have one . my construction worker hat . <eos> have you ever watched the olympics ? i won a gold medal in 1992 ! <eos> wow , really ? i am not much into sports , except ufc but that is quite an accomplishment ! <eos> thank you so much ! do you have any other hobbies ? <eos> well , speaking of the nineties , i toured around following aerosmith . love those guys . <eos> that sounds great , music is a nice way to relax ! <eos> best way since i started working at 16 . what kind of tunes do you like ? <eos> i mostly listen to electronic music , it helps me work and focus ! you ? <eos>	classic rock never goes out of style , man .
hey there how are you ? <eos>	i am good , how are you ? do you know of any good jobs around here ?
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos>	i am good . well depends on where you live
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos>	i am in north carolina . where are you from ?
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos>	i am from new york . do i get brownie points for that ? haha
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos>	maybe ! do they have restaurant jobs up there ? i might relocate .
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos> maybe ! do they have restaurant jobs up there ? i might relocate . <eos>	yes they do ! there are alot of job openings here .
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos> maybe ! do they have restaurant jobs up there ? i might relocate . <eos> yes they do ! there are alot of job openings here . <eos>	my older sister tried to get me a job but there was not much here .
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos> maybe ! do they have restaurant jobs up there ? i might relocate . <eos> yes they do ! there are alot of job openings here . <eos> my older sister tried to get me a job but there was not much here . <eos>	i want to become a physical therapist too here .
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos> maybe ! do they have restaurant jobs up there ? i might relocate . <eos> yes they do ! there are alot of job openings here . <eos> my older sister tried to get me a job but there was not much here . <eos> i want to become a physical therapist too here . <eos>	how did you get interested in doing that ?
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos> maybe ! do they have restaurant jobs up there ? i might relocate . <eos> yes they do ! there are alot of job openings here . <eos> my older sister tried to get me a job but there was not much here . <eos> i want to become a physical therapist too here . <eos> how did you get interested in doing that ? <eos>	from my father . he is a top batch therapist .
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos> maybe ! do they have restaurant jobs up there ? i might relocate . <eos> yes they do ! there are alot of job openings here . <eos> my older sister tried to get me a job but there was not much here . <eos> i want to become a physical therapist too here . <eos> how did you get interested in doing that ? <eos> from my father . he is a top batch therapist . <eos>	do you like to play basketball ?
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos> maybe ! do they have restaurant jobs up there ? i might relocate . <eos> yes they do ! there are alot of job openings here . <eos> my older sister tried to get me a job but there was not much here . <eos> i want to become a physical therapist too here . <eos> how did you get interested in doing that ? <eos> from my father . he is a top batch therapist . <eos> do you like to play basketball ? <eos>	no because i used to study a lot . i had straight as
hey there how are you ? <eos> i am good , how are you ? do you know of any good jobs around here ? <eos> i am good . well depends on where you live <eos> i am in north carolina . where are you from ? <eos> i am from new york . do i get brownie points for that ? haha <eos> maybe ! do they have restaurant jobs up there ? i might relocate . <eos> yes they do ! there are alot of job openings here . <eos> my older sister tried to get me a job but there was not much here . <eos> i want to become a physical therapist too here . <eos> how did you get interested in doing that ? <eos> from my father . he is a top batch therapist . <eos> do you like to play basketball ? <eos> no because i used to study a lot . i had straight as <eos>	nerd ! haha , just kidding . who is your favorite music artist ?
hello , how is it going ? <eos>	hey i go to preschool . my name is roddy
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos>	hey roddy , my name is tim and i love to grill outdoors .
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos>	my dad grills my favorite hot dogs all the time
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos>	oh yeah , there is nothing better than grilled hot dogs and burgers and ribs .
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos>	yummy . . . do you have kids my age ?
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos>	yes i have two kids your age , a girl and a boy . i am retired .
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos>	cool i need some new friends
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos> cool i need some new friends <eos>	the girls name is molly and the boys name is troy . we mow the lawn together .
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos> cool i need some new friends <eos> the girls name is molly and the boys name is troy . we mow the lawn together . <eos>	i have to wait til i am older to do that
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos> cool i need some new friends <eos> the girls name is molly and the boys name is troy . we mow the lawn together . <eos> i have to wait til i am older to do that <eos>	your dad can get you a tiny lawn mower for your size .
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos> cool i need some new friends <eos> the girls name is molly and the boys name is troy . we mow the lawn together . <eos> i have to wait til i am older to do that <eos> your dad can get you a tiny lawn mower for your size . <eos>	that is a good idea but i prefer to play with my toys
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos> cool i need some new friends <eos> the girls name is molly and the boys name is troy . we mow the lawn together . <eos> i have to wait til i am older to do that <eos> your dad can get you a tiny lawn mower for your size . <eos> that is a good idea but i prefer to play with my toys <eos>	maybe a toy version of lawn mower would be right for you .
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos> cool i need some new friends <eos> the girls name is molly and the boys name is troy . we mow the lawn together . <eos> i have to wait til i am older to do that <eos> your dad can get you a tiny lawn mower for your size . <eos> that is a good idea but i prefer to play with my toys <eos> maybe a toy version of lawn mower would be right for you . <eos>	that would be fun . my best friend could play too
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos> cool i need some new friends <eos> the girls name is molly and the boys name is troy . we mow the lawn together . <eos> i have to wait til i am older to do that <eos> your dad can get you a tiny lawn mower for your size . <eos> that is a good idea but i prefer to play with my toys <eos> maybe a toy version of lawn mower would be right for you . <eos> that would be fun . my best friend could play too <eos>	yes most definitely , i love to gamble in my spare time .
hello , how is it going ? <eos> hey i go to preschool . my name is roddy <eos> hey roddy , my name is tim and i love to grill outdoors . <eos> my dad grills my favorite hot dogs all the time <eos> oh yeah , there is nothing better than grilled hot dogs and burgers and ribs . <eos> yummy . . . do you have kids my age ? <eos> yes i have two kids your age , a girl and a boy . i am retired . <eos> cool i need some new friends <eos> the girls name is molly and the boys name is troy . we mow the lawn together . <eos> i have to wait til i am older to do that <eos> your dad can get you a tiny lawn mower for your size . <eos> that is a good idea but i prefer to play with my toys <eos> maybe a toy version of lawn mower would be right for you . <eos> that would be fun . my best friend could play too <eos> yes most definitely , i love to gamble in my spare time . <eos>	like the lottery or casino ?
hi , how are you , how is day ? <eos>	i am okay , eating some ice cream before bed .
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos>	good , i am married , are you married
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos>	i am , my wife and i have three girls .
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos>	great , i have five childrens
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos>	we are looking to adopt a few more in the coming years .
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos>	great think , i have mini van
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos>	i have a truck , i prefer cars though .
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos> i have a truck , i prefer cars though . <eos>	i am a driver , what is your hobbies
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos> i have a truck , i prefer cars though . <eos> i am a driver , what is your hobbies <eos>	spending time with my family and shopping .
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos> i have a truck , i prefer cars though . <eos> i am a driver , what is your hobbies <eos> spending time with my family and shopping . <eos>	good , what is your favorite drink ?
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos> i have a truck , i prefer cars though . <eos> i am a driver , what is your hobbies <eos> spending time with my family and shopping . <eos> good , what is your favorite drink ? <eos>	i prefer cosmopolitans , and white russians .
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos> i have a truck , i prefer cars though . <eos> i am a driver , what is your hobbies <eos> spending time with my family and shopping . <eos> good , what is your favorite drink ? <eos> i prefer cosmopolitans , and white russians . <eos>	i like coffee , what is your favorite dish ?
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos> i have a truck , i prefer cars though . <eos> i am a driver , what is your hobbies <eos> spending time with my family and shopping . <eos> good , what is your favorite drink ? <eos> i prefer cosmopolitans , and white russians . <eos> i like coffee , what is your favorite dish ? <eos>	ice cream . chocolate ice cream .
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos> i have a truck , i prefer cars though . <eos> i am a driver , what is your hobbies <eos> spending time with my family and shopping . <eos> good , what is your favorite drink ? <eos> i prefer cosmopolitans , and white russians . <eos> i like coffee , what is your favorite dish ? <eos> ice cream . chocolate ice cream . <eos>	oh , i like pizza and meat
hi , how are you , how is day ? <eos> i am okay , eating some ice cream before bed . <eos> good , i am married , are you married <eos> i am , my wife and i have three girls . <eos> great , i have five childrens <eos> we are looking to adopt a few more in the coming years . <eos> great think , i have mini van <eos> i have a truck , i prefer cars though . <eos> i am a driver , what is your hobbies <eos> spending time with my family and shopping . <eos> good , what is your favorite drink ? <eos> i prefer cosmopolitans , and white russians . <eos> i like coffee , what is your favorite dish ? <eos> ice cream . chocolate ice cream . <eos> oh , i like pizza and meat <eos>	i like bacon , fries and waffles .
hi ! have you ever ridden a horse ? <eos>	yes ! its part of my cancer treatment . i started a new job . you ?
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos>	i have heard that cutting meat out of your diet helps with cancer
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos>	i run marathons and never ate meat . you sing or dance ?
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos>	i do not . but i do ride horses competitively .
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos> i do not . but i do ride horses competitively . <eos>	i am a life coach for hospitalized children . what else you do ?
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos> i do not . but i do ride horses competitively . <eos> i am a life coach for hospitalized children . what else you do ? <eos>	i am a sophomore in high school
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos> i do not . but i do ride horses competitively . <eos> i am a life coach for hospitalized children . what else you do ? <eos> i am a sophomore in high school <eos>	great ! do your parents ride horses too ? my parents are dead .
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos> i do not . but i do ride horses competitively . <eos> i am a life coach for hospitalized children . what else you do ? <eos> i am a sophomore in high school <eos> great ! do your parents ride horses too ? my parents are dead . <eos>	they have not recently because they were painting my bedroom purple and lime green
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos> i do not . but i do ride horses competitively . <eos> i am a life coach for hospitalized children . what else you do ? <eos> i am a sophomore in high school <eos> great ! do your parents ride horses too ? my parents are dead . <eos> they have not recently because they were painting my bedroom purple and lime green <eos>	wow ! we buried my aunt in lime green her favorite color .
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos> i do not . but i do ride horses competitively . <eos> i am a life coach for hospitalized children . what else you do ? <eos> i am a sophomore in high school <eos> great ! do your parents ride horses too ? my parents are dead . <eos> they have not recently because they were painting my bedroom purple and lime green <eos> wow ! we buried my aunt in lime green her favorite color . <eos>	sorry to hear about your aunt
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos> i do not . but i do ride horses competitively . <eos> i am a life coach for hospitalized children . what else you do ? <eos> i am a sophomore in high school <eos> great ! do your parents ride horses too ? my parents are dead . <eos> they have not recently because they were painting my bedroom purple and lime green <eos> wow ! we buried my aunt in lime green her favorite color . <eos> sorry to hear about your aunt <eos>	thanks . she died a long time ago . she was a meat eater too .
hi ! have you ever ridden a horse ? <eos> yes ! its part of my cancer treatment . i started a new job . you ? <eos> i have heard that cutting meat out of your diet helps with cancer <eos> i run marathons and never ate meat . you sing or dance ? <eos> i do not . but i do ride horses competitively . <eos> i am a life coach for hospitalized children . what else you do ? <eos> i am a sophomore in high school <eos> great ! do your parents ride horses too ? my parents are dead . <eos> they have not recently because they were painting my bedroom purple and lime green <eos> wow ! we buried my aunt in lime green her favorite color . <eos> sorry to hear about your aunt <eos> thanks . she died a long time ago . she was a meat eater too . <eos>	that makes me sad . vegan is the way to be .
